Source,Source type,Destination,Destination type,Last job start time,Last job end time,Last job status,Last job comment,Migrated size (GB),Successful objects,Objects with exceptions,Error objects,Skipped objects,Filtered out objects,Objects with ignored errors,Comment
salle.mont-royal@expretio.com,Resource mailbox,salle.mont-royal@mbuexpretio.onmicrosoft.com,Resource mailbox,2026-05-19 14:43:05 (UTC+00:00),2026-05-19 15:01:10 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.01,582,0,18,260,0,0,
salle.laurier@expretio.com,Resource mailbox,salle.laurier@mbuexpretio.onmicrosoft.com,Resource mailbox,2026-05-19 14:43:28 (UTC+00:00),2026-05-19 16:10:05 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.2,8608,0,203,13332,0,0,
salle.esplanade@expretio.com,Resource mailbox,salle.esplanade@mbuexpretio.onmicrosoft.com,Resource mailbox,2026-05-19 14:43:35 (UTC+00:00),2026-05-19 15:11:07 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.14,4934,0,143,8199,0,0,
xoops@expretio.com,Distribution list,xoops@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:34:41 (UTC+00:00),2026-05-19 14:35:24 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,12,0,0,0,
xolab@expretio.com,Distribution list,xolab@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:35:17 (UTC+00:00),2026-05-19 14:35:43 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,5,0,0,0,
xoint@expretio.com,Distribution list,xoint@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:35:17 (UTC+00:00),2026-05-19 14:36:29 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,39,0,0,0,
tender@expretio.com,Distribution list,tender@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:35:18 (UTC+00:00),2026-05-19 14:35:54 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,6,0,0,0,
zendesk-admin@expretio.com,Distribution list,zendesk-admin@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:35:28 (UTC+00:00),2026-05-19 14:35:49 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,2,0,0,0,
xocial-comite-social@expretio.com,Distribution list,xocial-comite-social@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:35:47 (UTC+00:00),2026-05-19 14:36:15 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,4,0,0,0,
XO-ADOProject@expretio.com,Distribution list,XO-ADOProject@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:35:48 (UTC+00:00),2026-05-19 14:36:30 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,9,0,0,0,
xo-xcs-product@expretio.com,Distribution list,xo-xcs-product@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:35:46 (UTC+00:00),2026-05-19 14:36:10 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,3,0,0,0,
vilmar.desousa@expretio.com,User mailbox,vilmar.desousa@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:35:54 (UTC+00:00),2026-05-19 14:52:24 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",4.29,24940,0,6,91121,0,0,
tomy.boudreault@expretio.com,User mailbox,tomy.boudreault@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:36:00 (UTC+00:00),2026-05-19 14:37:17 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",9.79,52310,0,2,60748,0,0,
aliou.sarr@expretio.com,User mailbox,aliou.sarr@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:36:18 (UTC+00:00),2026-05-19 14:37:51 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",17.56,23410,0,3,79859,0,0,
alexandre.talens@expretio.com,User mailbox,alexandre.talens@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:36:19 (UTC+00:00),2026-05-19 14:38:13 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",10.96,70699,0,4,81696,0,0,
adrien.dessinges@expretio.com,User mailbox,adrien.dessinges@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:36:34 (UTC+00:00),2026-05-19 14:38:02 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",10.07,69333,0,3,79157,0,0,
